,Question,Generated Answer,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length,rouge1,rouge2,rougeL,rougeLsum,BERT,Inference Time
0,Dimana letak Candi Borobudur?,"Candi Borobudur terletak di Magelang, Jawa Tengah, Indonesia",1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,10,10,1.0,1.0,1.0,1.0,[1.0000001192092896],9.311399936676025
1,Kapan Candi Borobudur dibangun?,Candi Borobudur dibangun pada abad ke-9 oleh Dinasti Sailendra,0.5873949094699213,"[0.6666666666666666, 0.625, 0.5714285714285714, 0.5]",1.0,1.5,9,6,0.8235294117647058,0.8,0.8235294117647058,0.8235294117647058,[0.878574550151825],7.300974130630493
2,Siapa yang membangun Candi Borobudur?,Candi Borobudur dibangun oleh Dinasti Sailendra,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,6,6,1.0,1.0,1.0,1.0,[0.9999999403953552],6.99209451675415
3,Apa fungsi utama Candi Borobudur?,Candi Borobudur merupakan tempat ibadah bagi umat Buddha,0.0,"[0.625, 0.2857142857142857, 0.0, 0.0]",1.0,1.0,8,8,0.625,0.2857142857142857,0.625,0.625,[0.970352828502655],6.627851724624634
4,"Selain menjadi tempat ibadah ajaran Buddha, apa fungsi Candi Borobudur?",Candi Borobudur merupakan keajaiban arsitektur yang memukau,0.0,"[0.5714285714285714, 0.3333333333333333, 0.0, 0.0]",0.42437284567694994,0.5384615384615384,7,13,0.4444444444444444,0.25,0.4444444444444444,0.4444444444444444,[0.8811632990837097],6.906015157699585
5,"Bagaimana deskripsi suasana di sekitar Candi Borobudur, khususnya di puncak bukit?","Candi Borobudur, yang terletak di Magelang, Jawa Tengah, Indonesia, merupakan sebuah monumen megah yang melambangkan kekayaan warisan budaya daerah tersebut Dibangun pada abad ke-9 oleh Dinasti Sailendra, bangunan ini tidak hanya berfungsi sebagai tempat ibadah, melainkan juga sebagai keajaiban arsitektur yang memukau Berdir",0.0,"[0.12244897959183673, 0.0, 0.0, 0.0]",1.0,2.8823529411764706,49,17,0.16949152542372878,0.0,0.13559322033898305,0.13559322033898305,[0.41137269139289856],7.269222259521484
6,Apa yang membuat Candi Borobudur menjadi sebuah keajaiban arsitektur?,"Candi Borobudur adalah sebuah monumen megah yang melambangkan kekayaan warisan budaya daerah tersebut Dibangun pada abad ke-9 oleh Dinasti Sailendra, bangunan ini tidak hanya berfungsi sebagai tempat ibadah, melainkan juga sebagai keajaiban arsitektur yang memukau Berdiri elegan di puncak bukit, candi ini dikelilingi oleh pepohonan hi",0.0,"[0.08163265306122448, 0.041666666666666664, 0.0, 0.0]",1.0,3.2666666666666666,49,15,0.13114754098360654,0.06779661016949153,0.13114754098360654,0.13114754098360654,[0.7804853320121765],7.27108359336853
7,Berapa jumlah platform bertingkat yang dimiliki oleh Candi Borobudur?,Candi Borobudur memiliki sembilan platform bertingkat,0.846481724890614,"[1.0, 1.0, 1.0, 1.0]",0.846481724890614,0.8571428571428571,6,7,1.0,1.0,1.0,1.0,[0.9949929714202881],6.5567946434021
8,Apa yang dihiasi oleh relief batu yang kompleks di setiap tingkat Candi Borobudur?,Undefined,0.0,"[0.0, 0.0, 0.0, 0.0]",1.670170079024566e-05,0.08333333333333333,1,12,0.0,0.0,0.0,0.0,[-0.08016626536846161],6.5928943157196045
9,Bagaimana struktur kompleks Candi Borobudur terdiri?,"Candi Borobudur terdiri dari sembilan platform bertingkat, di setiap tingkatnya dihiasi dengan relief batu yang kompleks, menggambarkan ajaran Buddha dan cerita rakyat Jawa Kompleks ini terdiri dari enam teras berbentuk bujur sangkar dengan tiga pelataran melingkar, di dindingnya dihiasi dengan 2672 panel relief, dan a",0.23914586021442075,"[0.2857142857142857, 0.25, 0.23404255319148937, 0.1956521739130435]",1.0,3.0625,49,16,0.4666666666666667,0.41379310344827586,0.43333333333333335,0.43333333333333335,[0.8735697269439697],7.190523624420166
