,Question,Generated Answer,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length,rouge1,rouge2,rougeL,rougeLsum,BERT,Inference Time
0,Dimana letak Candi Borobudur?," Candi Borobudur terletak di Magelang, Jawa Tengah, Indonesia.",0.9045340337332909,"[0.9090909090909091, 0.9]",1.0,1.1,11,10,1.0,1.0,1.0,1.0,"{'error': 'Model firqaaa/indo-sentence-bert-base is currently loading', 'estimated_time': 20.0}",4.378247499465942
1,Kapan Candi Borobudur dibangun?, Candi Borobudur dibangun pada abad ke-9 oleh Dinasti Sailendra.,0.5773502691896258,"[0.6, 0.5555555555555556]",1.0,1.6666666666666667,10,6,0.8235294117647058,0.8,0.8235294117647058,0.8235294117647058,"{'error': 'Model firqaaa/indo-sentence-bert-base is currently loading', 'estimated_time': 20.0}",2.606282949447632
2,Siapa yang membangun Candi Borobudur?, Candi Borobudur dibangun oleh Dinasti Sailendra pada abad ke-9.,0.5773502691896258,"[0.6, 0.5555555555555556]",1.0,1.6666666666666667,10,6,0.7499999999999999,0.7142857142857143,0.7499999999999999,0.7499999999999999,"{'error': 'Model firqaaa/indo-sentence-bert-base is currently loading', 'estimated_time': 20.0}",2.607452154159546
3,Apa fungsi utama Candi Borobudur?," Candi Borobudur memiliki fungsi utama sebagai tempat ibadah bagi umat Buddha. Selain itu, bangunan ini juga merupakan keajaiban arsitektur yang memukau, dengan struktur yang elegan dan kompleks relief batu yang menggambarkan ajaran Buddha dan cerita rakyat Jawa.",0.13066434376564753,"[0.17073170731707318, 0.1]",1.0,5.125,41,8,0.3111111111111111,0.18604651162790697,0.3111111111111111,0.3111111111111111,[0.873611569404602],5.376581907272339
4,"Selain menjadi tempat ibadah ajaran Buddha, apa fungsi Candi Borobudur?"," Selain menjadi tempat ibadah ajaran Buddha, Candi Borobudur memiliki fungsi sebagai keajaiban arsitektur yang memukau.",0.42874646285627205,"[0.5882352941176471, 0.3125]",1.0,1.3076923076923077,17,13,0.6153846153846153,0.3333333333333333,0.6153846153846153,0.6153846153846153,[0.9465198516845703],3.6569020748138428
5,"Bagaimana deskripsi suasana di sekitar Candi Borobudur, khususnya di puncak bukit?"," Candi Borobudur, yang terletak di Magelang, Jawa Tengah, Indonesia, merupakan sebuah monumen megah yang melambangkan kekayaan warisan budaya daerah tersebut. Dibangun pada abad ke-9 oleh Dinasti Sailendra, bangunan ini tidak hanya berfungsi sebagai tempat ibadah, melainkan juga sebagai keajaiban arsitektur yang memukau. Berdiri elegan di puncak bukit, candi ini dikelilingi oleh pepohonan hijau yang menciptakan suasana damai. Keindahan struktur ini tercermin dalam perpaduan unik antara arsitektur Indonesia dan seni India. Candi ini memiliki sembilan platform bertingkat, di setiap tingkatnya dihiasi dengan relief batu yang kompleks, menggambarkan ajaran Buddha dan cerita rakyat Jawa. Kompleks ini terdiri dari enam teras berbentuk bujur sangkar dengan tiga pelataran melingkar, di dindingnya dihiasi dengan 2.672 panel relief, dan aslinya menyertakan 504 arca Buddha. Stupa utama terbesar berada di tengah, memahkotai bangunan ini, dan dikelilingi oleh tiga barisan melingkar 72 stupa berlubang yang menampung arca Buddha tengah duduk bersila dalam posisi teratai sempurna dengan mudra Dharmachakra (memutar roda dharma). Sejarah mencatat bahwa Borobudur ditinggalkan pada abad ke-10 ketika pusat Kerajaan Mataram Kuno dipindahkan ke Jawa Timur oleh Pu Sindok. Kesadaran dunia terhadap keberadaan candi ini muncul setelah penemuan pada tahun 1814 oleh Sir Thomas Stamford Raffles, yang saat itu menjabat sebagai Gubernur Jenderal Inggris di Jawa. Hingga kini, Borobudur masih menjadi tempat ziarah keagamaan, di mana setiap tahun umat Buddha dari seluruh Indonesia dan mancanegara berkumpul untuk memperingati Trisuci Waisak.",0.05734486522190132,"[0.06349206349206349, 0.05179282868525897]",1.0,14.823529411764707,252,17,0.12396694214876032,0.09999999999999999,0.12396694214876032,0.12396694214876032,[0.3672541677951813],34.4929895401001
6,Apa yang membuat Candi Borobudur menjadi sebuah keajaiban arsitektur?," Candi Borobudur menjadi sebuah keajaiban arsitektur karena perpaduan unik antara arsitektur Indonesia dan seni India. Candi ini memiliki sembilan platform bertingkat, di setiap tingkatnya dihiasi dengan relief batu yang kompleks, menggambarkan ajaran Buddha dan cerita rakyat Jawa.",0.34482232964874865,"[0.36585365853658536, 0.325]",1.0,2.7333333333333334,41,15,0.5490196078431372,0.489795918367347,0.5490196078431372,0.5490196078431372,[0.8770023584365845],5.703144311904907
7,Berapa jumlah platform bertingkat yang dimiliki oleh Candi Borobudur?,Undefined,0.0,"[0.0, 0.0]",0.0024787521766663585,0.14285714285714285,1,7,0.0,0.0,0.0,0.0,[-0.01852639578282833],0.7483234405517578
8,Apa yang dihiasi oleh relief batu yang kompleks di setiap tingkat Candi Borobudur?,Undefined,0.0,"[0.0, 0.0]",1.670170079024566e-05,0.08333333333333333,1,12,0.0,0.0,0.0,0.0,[-0.08016626536846161],0.7805438041687012
9,Bagaimana struktur kompleks Candi Borobudur terdiri?," Kompleks Candi Borobudur terdiri dari enam teras berbentuk bujur sangkar dengan tiga pelataran melingkar, di dindingnya dihiasi dengan 2.672 panel relief, dan aslinya menyertakan 504 arca Buddha.",0.43943537440204117,"[0.4666666666666667, 0.41379310344827586]",1.0,1.875,30,16,0.6511627906976745,0.6341463414634146,0.6511627906976745,0.6511627906976745,[0.9186033606529236],4.651865720748901
