,Question,Generated Answer,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length,rouge1,rouge2,rougeL,rougeLsum,BERT,Inference Time
0,Dimana letak Candi Borobudur?," Candi Borobudur terletak di Magelang, Jawa Tengah, Indonesia.",0.9045340337332909,"[0.9090909090909091, 0.9]",1.0,1.1,11,10,1.0,1.0,1.0,1.0,"{'error': 'Model firqaaa/indo-sentence-bert-base is currently loading', 'estimated_time': 20.0}",7.55262303352356
1,Kapan Candi Borobudur dibangun?, Candi Borobudur dibangun pada abad ke-9 oleh Dinasti Sailendra.,0.5773502691896258,"[0.6, 0.5555555555555556]",1.0,1.6666666666666667,10,6,0.8235294117647058,0.8,0.8235294117647058,0.8235294117647058,[0.8774054646492004],6.019965648651123
2,Siapa yang membangun Candi Borobudur?, Candi Borobudur dibangun oleh Dinasti Sailendra pada abad ke-9.,0.5773502691896258,"[0.6, 0.5555555555555556]",1.0,1.6666666666666667,10,6,0.7499999999999999,0.7142857142857143,0.7499999999999999,0.7499999999999999,"{'error': 'Model firqaaa/indo-sentence-bert-base is currently loading', 'estimated_time': 20.0}",5.333117723464966
3,Apa fungsi utama Candi Borobudur?," Candi Borobudur adalah sebuah monumen megah yang melambangkan kekayaan warisan budaya daerah Magelang, Jawa Tengah, Indonesia. Fungsi utama candi ini adalah sebagai tempat ibadah, tetapi juga sebagai keajaiban arsitektur yang memukau. Candi ini dibangun pada abad ke-9 oleh Dinasti Sailendra dan memiliki nilai sejarah dan budaya yang sangat tinggi.",0.07106690545187011,"[0.09090909090909091, 0.05555555555555555]",1.0,6.875,55,8,0.1724137931034483,0.10714285714285714,0.1724137931034483,0.1724137931034483,[0.7795377969741821],12.707924365997314
4,"Selain menjadi tempat ibadah ajaran Buddha, apa fungsi Candi Borobudur?"," Candi Borobudur tidak hanya berfungsi sebagai tempat ibadah ajaran Buddha, tetapi juga memiliki fungsi lain seperti sebagai keajaiban arsitektur yang memukau, dan sebagai tempat wisata yang menarik. Candi ini juga memiliki nilai sejarah dan budaya yang tinggi, karena dibangun pada abad ke-9 oleh Dinasti Sailendra, dan memiliki nilai seni dan arsitektur yang unik. Selain itu, Candi Borobudur juga memiliki nilai spiritual dan religius yang tinggi, karena merupakan tempat ziarah keagamaan bagi umat Buddha.",0.12513166808254955,"[0.15853658536585366, 0.09876543209876543]",1.0,6.3076923076923075,82,13,0.25882352941176473,0.1686746987951807,0.16470588235294117,0.16470588235294117,[0.872984766960144],16.558490991592407
5,"Bagaimana deskripsi suasana di sekitar Candi Borobudur, khususnya di puncak bukit?"," Candi Borobudur terletak di puncak bukit yang tinggi, sehingga suasana di sekitar candi ini sangat indah dan damai. Pepohonan hijau yang melingkupi candi ini menciptakan suasana yang tenang dan sakral. Di sekitar candi ini, terdapat beberapa tempat ziarah yang ramai dikunjungi oleh umat Buddha. Selain itu, di sekitar candi ini juga terdapat beberapa warung yang menjual makanan dan minuman khas Jawa, seperti gudeg, bakpia, dan es teler.",0.10539124128167715,"[0.16883116883116883, 0.06578947368421052]",1.0,4.529411764705882,77,17,0.29268292682926833,0.15000000000000002,0.21951219512195122,0.21951219512195122,[0.6719506978988647],17.6766254901886
6,Apa yang membuat Candi Borobudur menjadi sebuah keajaiban arsitektur?," Candi Borobudur menjadi sebuah keajaiban arsitektur karena beberapa alasan. Pertama, struktur candi ini memiliki desain yang unik dan kompleks, dengan 2.672 panel relief yang menggambarkan ajaran Buddha dan cerita rakyat Jawa. Kedua, candi ini memiliki sembilan platform bertingkat, di setiap tingkatnya dihiasi dengan relief batu yang kompleks. Ketiga, candi ini memiliki stupa utama terbesar berada di tengah, memahkotai bangunan ini, dan dikelilingi oleh tiga barisan melingkar 72 stupa berlubang yang menampung arca Buddha. Keempat, candi ini memiliki sejarah yang panjang dan kaya, dengan asal-usul yang bermula dari abad ke-9 oleh Dinasti Sailendra. Kelima, candi ini memiliki nilai sejarah dan budaya yang tinggi, karena candi ini tidak hanya berfungsi sebagai tempat ibadah, melainkan juga sebagai keajaiban arsitektur yang memukau.",0.046676002800933654,"[0.07352941176470588, 0.02962962962962963]",1.0,9.066666666666666,136,15,0.13333333333333333,0.06015037593984962,0.11851851851851852,0.11851851851851852,[0.8117733597755432],26.490763902664185
7,Berapa jumlah platform bertingkat yang dimiliki oleh Candi Borobudur?, Candi Borobudur memiliki sembilan platform bertingkat.,1.0,"[1.0, 1.0]",1.0,1.0,7,7,1.0,1.0,1.0,1.0,[0.9999998807907104],5.04430079460144
8,Apa yang dihiasi oleh relief batu yang kompleks di setiap tingkat Candi Borobudur?," Relief batu yang kompleks di setiap tingkat Candi Borobudur menggambarkan ajaran Buddha dan cerita rakyat Jawa. Relief-relief tersebut menggambarkan cerita tentang kehidupan Buddha, ajaran Buddha, dan cerita rakyat Jawa. Relief-relief tersebut juga menggambarkan kehidupan Buddha dari masa kecil hingga masa dewasa, serta ajaran-ajarannya yang dianut oleh umat Buddha.",0.2047650389446504,"[0.2222222222222222, 0.18867924528301888]",1.0,4.5,54,12,0.3548387096774193,0.3,0.3548387096774193,0.3548387096774193,[0.906692624092102],13.747786283493042
9,Bagaimana struktur kompleks Candi Borobudur terdiri?," Candi Borobudur terdiri dari enam teras berbentuk bujur sangkar dengan tiga pelataran melingkar. Di dindingnya dihiasi dengan 2.672 panel relief, dan aslinya menyertakan 504 arca Buddha. Stupa utama terbesar berada di tengah, memahkotai bangunan ini, dan dikelilingi oleh tiga barisan melingkar 72 stupa berlubang yang menampung arca Buddha tengah duduk bersila dalam posisi teratai sempurna dengan mudra Dharmachakra (memutar roda dharma).",0.19695032067758678,"[0.2028985507246377, 0.19117647058823528]",1.0,4.3125,69,16,0.33766233766233766,0.32000000000000006,0.33766233766233766,0.33766233766233766,[0.8922290205955505],16.946880102157593
