,Question,Generated Answer,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length,rouge1,rouge2,rougeL,rougeLsum,BERT,Inference Time
0,Dimana letak Candi Borobudur?,"Candi Borobudur terletak di Magelang, Jawa Tengah, Indonesia.",1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,10,10,1.0,1.0,1.0,1.0,[1.0000001192092896],16.191280841827393
1,Kapan Candi Borobudur dibangun?,Candi Borobudur dibangun pada abad ke-9 oleh Dinasti Sailendra.,0.5873949094699213,"[0.6666666666666666, 0.625, 0.5714285714285714, 0.5]",1.0,1.5,9,6,0.8235294117647058,0.8,0.8235294117647058,0.8235294117647058,[0.878574550151825],18.68587064743042
2,Siapa yang membangun Candi Borobudur?,Candi Borobudur dibangun oleh Dinasti Sailendra pada abad ke-9.,0.5873949094699213,"[0.6666666666666666, 0.625, 0.5714285714285714, 0.5]",1.0,1.5,9,6,0.7499999999999999,0.7142857142857143,0.7499999999999999,0.7499999999999999,[0.9669607281684875],18.17885136604309
3,Apa fungsi utama Candi Borobudur?,"
Fungsi utama Candi Borobudur adalah sebagai tempat ibadah dan keajaiban arsitektur yang memukau. Dibangun pada abad ke-9 oleh Dinasti Sailendra, dan dikelilingi oleh pepohonan hijau yang menciptakan suasana damai. Keindahan struktur ini tercermin dalam per",0.0,"[0.13157894736842105, 0.08108108108108109, 0.027777777777777776, 0.0]",1.0,4.75,38,8,0.2272727272727273,0.14285714285714285,0.2272727272727273,0.2272727272727273,[0.66912841796875],67.3978283405304
4,"Selain menjadi tempat ibadah ajaran Buddha, apa fungsi Candi Borobudur?","Candi Borobudur juga merupakan keajaiban arsitektur yang memukau. Bangunan ini terletak di puncak bukit, dan dikelilingi oleh pepohonan hijau yang menciptakan suasana damai. Keindahan struktur ini tercermin dalam perpaduan unik antara arsitektur Indonesia dan seni India. Cand",0.0,"[0.17073170731707318, 0.075, 0.02564102564102564, 0.0]",1.0,3.1538461538461537,41,13,0.20833333333333334,0.13043478260869565,0.20833333333333334,0.20833333333333334,[0.6903210282325745],68.31395936012268
5,"Bagaimana deskripsi suasana di sekitar Candi Borobudur, khususnya di puncak bukit?","
Suasana di sekitar Candi Borobudur, khususnya di puncak bukit, sangat damai dan menakjubkan. Pepohonan hijau yang menciptakan suasana damai dan menyelimuti bangunan menambah kedalaman dan kedalaman keindahan struktur. Kompleks ini terletak di puncak bukit, y",0.15894780290856195,"[0.3076923076923077, 0.18421052631578946, 0.13513513513513514, 0.08333333333333333]",1.0,2.2941176470588234,39,17,0.4489795918367347,0.2978723404255319,0.40816326530612246,0.40816326530612246,"{'error': 'Model firqaaa/indo-sentence-bert-base is currently loading', 'estimated_time': 20.0}",68.63410329818726
6,Apa yang membuat Candi Borobudur menjadi sebuah keajaiban arsitektur?,"
Candi Borobudur adalah keajaiban arsitektur karena kombinasi unik antara arsitektur Indonesia dan seni India. Bangunan ini terdiri dari sembilan platform bertingkat, di setiap tingkatnya dihiasi dengan relief batu yang kompleks, menggambarkan ajaran Buddha dan cerita rakyat J",0.21911128309213238,"[0.3333333333333333, 0.2631578947368421, 0.1891891891891892, 0.1388888888888889]",1.0,2.6,39,15,0.48,0.37499999999999994,0.48,0.48,[0.8615110516548157],68.25230932235718
7,Berapa jumlah platform bertingkat yang dimiliki oleh Candi Borobudur?,Candi Borobudur memiliki sembilan platform bertingkat.,0.846481724890614,"[1.0, 1.0, 1.0, 1.0]",0.846481724890614,0.8571428571428571,6,7,1.0,1.0,1.0,1.0,[0.9949929714202881],13.40651273727417
8,Apa yang dihiasi oleh relief batu yang kompleks di setiap tingkat Candi Borobudur?,"
Relief batu yang kompleks di setiap tingkat Candi Borobudur menggambarkan ajaran Buddha dan cerita rakyat Jawa.",0.5307074109851435,"[0.6875, 0.6, 0.5, 0.38461538461538464]",1.0,1.3333333333333333,16,12,0.8148148148148148,0.7200000000000001,0.8148148148148148,0.8148148148148148,[0.9188883304595947],31.60913348197937
9,Bagaimana struktur kompleks Candi Borobudur terdiri?,"
Candi Borobudur terdiri dari enam teras berbentuk bujur sangkar dengan tiga pelataran melingkar, di dindingnya dihiasi dengan 2.672 panel relief, dan aslinya menyertakan 504 arca Buddha. Stupa utama terbesar berada di tengah, memahkotai bangunan in",0.3110551417241714,"[0.358974358974359, 0.3157894736842105, 0.2972972972972973, 0.2777777777777778]",1.0,2.4375,39,16,0.5098039215686274,0.4897959183673469,0.5098039215686274,0.5098039215686274,[0.9181926250457764],67.4222023487091
